Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2
10/2/2020,120,31,masusalmon,NO,NO,87.0 ,7.1,NO,NO,NO,NO,NA,900_226001110227,NA
10/2/2020,120,32,masusalmon,NO,NO,135.0 ,31.7,sperm,NO,NO,NO,NA,900_226001110221,NA
10/2/2020,120,33,rainbowtrout,NO,NO,61.0 ,2.7,NO,NO,NO,NO,NA,900_226001110205,NA
10/2/2020,120,NA,sculpin,NO,NO,110.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,120,NA,sculpin,NO,NO,84.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,120,NA,sculpin,NO,NO,81.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,120,NA,sculpin,NO,NO,74.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,120,NA,sculpin,NO,NO,88.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,130,34,masusalmon,NO,NO,126.0 ,22,sperm,NO,NO,NO,NA,900_226001110206,NA
10/2/2020,130,35,masusalmon,NO,NO,80.0 ,5.8,NO,NO,NO,NO,NA,900_226001110269,NA
10/2/2020,130,36,masusalmon,YES,NO,107.0 ,15.8,sperm,NO,NO,NO,doubletag,900_226001110552,900_226001110226
10/2/2020,130,37,masusalmon,NO,NO,112.0 ,17.2,sperm,NO,NO,NO,NA,900_226001110248,NA
10/2/2020,130,NA,sculpin,NO,NO,162.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,128.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,106.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,82.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,92.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,109.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,140,38,masusalmon,NO,NO,93.0 ,9.8,NO,NO,NO,NO,NA,900_226001110200,NA
10/2/2020,140,39,masusalmon,NO,NO,123.0 ,21.3,NO,NO,NO,NO,NA,900_226001110244,NA
10/2/2020,140,40,masusalmon,NO,NO,97.0 ,10.7,NO,NO,NO,NO,NA,900_226001110261,NA
10/2/2020,140,NA,sculpin,NO,NO,72.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,140,NA,sculpin,NO,NO,97.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,140,NA,sculpin,NO,NO,94.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,140,NA,sculpin,NO,NO,115.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,150,41,masusalmon,NO,NO,82.0 ,6.8,NO,NO,NO,NO,NA,900_226001110277,NA
10/2/2020,150,42,masusalmon,NO,NO,120.0 ,22.9,sperm,NO,NO,NO,NA,900_226001110285,NA
10/2/2020,150,43,masusalmon,NO,NO,80.0 ,6.2,NO,NO,NO,NO,NA,900_226001110214,NA
10/2/2020,150,44,masusalmon,NO,NO,100.0 ,12.5,NO,NO,NO,NO,NA,900_226001110245,NA
10/2/2020,150,45,masusalmon,NO,NO,63.0 ,2.8,NO,NO,NO,NO,NA,900_226001110209,NA
10/2/2020,150,46,masusalmon,NO,NO,72.0 ,4.1,NO,NO,NO,NO,NA,900_226001110251,NA
10/2/2020,150,NA,sculpin,NO,NO,85.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,150,NA,sculpin,NO,NO,68.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,150,NA,sculpin,NO,NO,91.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,160,47,masusalmon,NO,NO,120.0 ,23.6,sperm,NO,NO,NO,NA,900_226001110268,NA
10/2/2020,160,48,masusalmon,NO,NO,92.0 ,8,NO,NO,NO,NO,NA,900_226001110275,NA
10/2/2020,160,49,masusalmon,YES,NO,102.0 ,12.8,NO,NO,NO,NO,NA,900_226001047098,NA
10/2/2020,160,50,masusalmon,NO,NO,85.0 ,7,NO,NO,NO,NO,NA,900_226001110259,NA
10/2/2020,160,51,masusalmon,NO,NO,81.0 ,5.2,NO,NO,NO,NO,NA,900_226001110202,NA
10/2/2020,160,NA,sculpin,NO,NO,74.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,160,NA,sculpin,NO,NO,63.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,160,NA,sculpin,NO,NO,65.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,160,NA,sculpin,NO,NO,60.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,170,52,whitespottedchar,NO,NO,152.0 ,37.6,NO,NO,NO,NO,NA,900_226001110283,NA
10/2/2020,170,53,masusalmon,NO,NO,111.0 ,16.7,NO,NO,NO,NO,NA,900_226001110295,NA
10/2/2020,170,54,masusalmon,NO,NO,95.0 ,9.2,NO,NO,NO,NO,NA,900_226001110263,NA
10/2/2020,170,55,masusalmon,NO,NO,90.0 ,8.8,NO,NO,NO,NO,NA,900_226001110235,NA
10/2/2020,170,56,masusalmon,NO,NO,108.0 ,16.1,sperm,NO,NO,NO,NA,900_226001110218,NA
10/2/2020,170,57,masusalmon,NO,NO,125.0 ,21.7,NO,NO,NO,NO,NA,900_226001110294,NA
10/2/2020,170,58,masusalmon,NO,NO,90.0 ,7.5,sperm,NO,NO,NO,NA,900_226001110231,NA
10/2/2020,170,59,masusalmon,NO,NO,125.0 ,25.1,sperm,NO,NO,NO,NA,900_226001110257,NA
10/2/2020,170,60,masusalmon,NO,NO,82.0 ,6.6,NO,NO,NO,NO,NA,900_226001110270,NA
10/2/2020,170,61,masusalmon,NO,NO,129.0 ,28.2,sperm,NO,NO,NO,NA,900_226001110279,NA
10/2/2020,170,62,masusalmon,NO,NO,149.0 ,41.5,sperm,NO,NO,NO,NA,900_226001110299,NA
10/2/2020,170,63,masusalmon,YES,NO,152.0 ,44.1,sperm,NO,NO,NO,NA,900_226001047088,NA
10/2/2020,170,NA,sculpin,NO,NO,102.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,180,NA,sculpin,NO,NO,82.0 ,NA,NO,NO,NO,NO,NA,NA,NA
