date,section,species,fork_length,body_mass,maturation,tagloss,injury,handlingmortality,notes,pit_number,pit_number2,smolting,removed
10/2/2020,380,masusalmon,139,34.3,sperm,NO,NO,NO,NA,900_226001047317,NA,NA,NA
10/2/2020,380,rainbowtrout,121,24.6,NO,NO,NO,NO,NA,900_226001110003,NA,NA,NA
10/2/2020,380,masusalmon,88,8.1,NO,NO,NO,NO,NA,900_226001108623,NA,NA,NA
10/2/2020,390,masusalmon,106,13,NO,NO,NO,NO,NA,900_226001108638,NA,NA,NA
10/2/2020,390,masusalmon,65,2.8,NO,NO,NO,NO,NA,900_226001108643,NA,NA,NA
10/2/2020,400,masusalmon,93,8.9,NO,NO,NO,NO,NA,900_226001108649,NA,NA,NA
10/2/2020,400,masusalmon,62,2.7,NO,NO,NO,NO,NA,900_226001108691,NA,NA,NA
10/2/2020,400,masusalmon,90,8.9,NO,NO,NO,NO,NA,900_226001108683,NA,NA,NA
10/2/2020,400,masusalmon,124,25.4,sperm,NO,NO,NO,NA,900_226001047271,NA,NA,NA
10/2/2020,400,masusalmon,136,30.6,sperm,NO,NO,NO,NA,900_226001110451,NA,NA,NA
10/2/2020,410,masusalmon,94,8.9,NO,NO,NO,NO,NA,900_226001108620,NA,NA,NA
10/2/2020,410,masusalmon,88,7.6,NO,NO,NO,NO,NA,900_226001108662,NA,NA,NA
10/2/2020,420,masusalmon,76,5.2,NO,NO,NO,NO,NA,900_226001108637,NA,NA,NA
10/2/2020,420,masusalmon,103,12.1,NO,NO,NO,NO,NA,900_226001108622,NA,NA,NA
10/2/2020,420,masusalmon,83,5.9,NO,NO,NO,NO,NA,900_226001108645,NA,NA,NA
10/2/2020,430,masusalmon,84,6.4,NO,NO,NO,NO,NA,900_226001108632,NA,NA,NA
10/2/2020,430,masusalmon,94,9.3,NO,NO,NO,NO,NA,900_226001108646,NA,NA,NA
10/2/2020,430,masusalmon,93,9.3,NO,NO,NO,NO,NA,900_226001108609,NA,NA,NA
10/2/2020,430,masusalmon,86,6.5,NO,NO,NO,NO,NA,900_226001108624,NA,NA,NA
10/2/2020,430,masusalmon,136,31.1,sperm,YES,NO,NO,NA,900_226001108635,NA,NA,NA
10/2/2020,440,masusalmon,113,15.7,NO,NO,NO,NO,NA,900_226001108675,NA,NA,NA
10/2/2020,440,masusalmon,99,10.3,NO,NO,NO,NO,NA,900_226001108625,NA,NA,NA
10/2/2020,440,masusalmon,129,26.3,sperm,NO,NO,NO,NA,900_226001110007,NA,NA,NA
10/2/2020,450,masusalmon,94,8.4,NO,NO,NO,NO,NA,900_226001108689,NA,NA,NA
10/2/2020,450,masusalmon,76,4.8,NO,NO,NO,NO,NA,900_226001108653,NA,NA,NA
10/2/2020,450,masusalmon,87,7.3,NO,NO,NO,NO,NA,900_226001108695,NA,NA,NA
10/2/2020,450,masusalmon,106,14,NO,NO,NO,NO,NA,900_226001108687,NA,NA,NA
10/2/2020,450,masusalmon,118,20.8,sperm,NO,NO,NO,NA,900_226001108614,NA,NA,NA
10/2/2020,450,masusalmon,78,5.1,NO,NO,NO,NO,NA,900_226001108612,NA,NA,NA
10/2/2020,450,masusalmon,71,4,NO,NO,NO,NO,NA,900_226001108619,NA,NA,NA
10/2/2020,450,masusalmon,65,2.7,NO,NO,NO,NO,NA,900_226001108666,NA,NA,NA
10/2/2020,450,masusalmon,83,5.9,NO,NO,NO,NO,NA,900_226001108664,NA,NA,NA
10/2/2020,450,masusalmon,88,7.1,NO,NO,NO,NO,NA,900_226001108678,NA,NA,NA
10/2/2020,450,masusalmon,133,27.6,sperm,NO,NO,NO,NA,900_226001108661,NA,NA,NA
10/2/2020,450,masusalmon,181,73,sperm,NO,NO,NO,NA,900_226000330548,NA,NA,NA
