Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2,life_stage,occasion,smolting,removed
10/2/2020,100,NA,sculpin,NO,NO,42,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,110,25,masusalmon,NO,NO,102,11.2,NO,NO,NO,NO,NA,900_226001110228,NA,NA,1,NA,NA
10/2/2020,110,26,masusalmon,NO,NO,95,8.4,NO,NO,NO,NO,NA,900_226001110265,NA,NA,1,NA,NA
10/2/2020,110,27,masusalmon,NO,NO,88,8.5,NO,NO,NO,NO,NA,900_226001110241,NA,NA,1,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,30,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,93,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,71,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,79,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,63,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,94,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,88,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,80,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,120,28,masusalmon,YES,NO,155,51.1,sperm,NO,NO,NO,NA,900_226001573833,NA,NA,1,NA,NA
10/2/2020,120,29,masusalmon,NO,NO,88,7.3,NO,NO,NO,NO,NA,900_226001110267,NA,NA,1,NA,NA
10/2/2020,120,30,masusalmon,NO,NO,102,11.6,NO,NO,NO,NO,NA,900_226001110208,NA,NA,1,NA,NA
10/2/2020,120,31,masusalmon,NO,NO,87,7.1,NO,NO,NO,NO,NA,900_226001110227,NA,NA,1,NA,NA
10/2/2020,120,32,masusalmon,NO,NO,135,31.7,sperm,NO,NO,NO,NA,900_226001110221,NA,NA,1,NA,NA
10/2/2020,120,33,rainbowtrout,NO,NO,61,2.7,NO,NO,NO,NO,NA,900_226001110205,NA,NA,1,NA,NA
10/2/2020,120,NA,sculpin,NO,NO,110,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,120,NA,sculpin,NO,NO,84,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,120,NA,sculpin,NO,NO,81,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,120,NA,sculpin,NO,NO,74,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,120,NA,sculpin,NO,NO,88,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,130,34,masusalmon,NO,NO,126,22,sperm,NO,NO,NO,NA,900_226001110206,NA,NA,1,NA,NA
10/2/2020,130,35,masusalmon,NO,NO,80,5.8,NO,NO,NO,NO,NA,900_226001110269,NA,NA,1,NA,NA
10/2/2020,130,36,masusalmon,YES,NO,107,15.8,sperm,NO,NO,NO,doubletag,900_226001110552,900_226001110226,NA,1,NA,NA
10/2/2020,130,37,masusalmon,NO,NO,112,17.2,sperm,NO,NO,NO,NA,900_226001110248,NA,NA,1,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,162,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,128,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,106,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,82,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,92,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,130,NA,sculpin,NO,NO,109,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,140,38,masusalmon,NO,NO,93,9.8,NO,NO,NO,NO,NA,900_226001110200,NA,NA,1,NA,NA
10/2/2020,140,39,masusalmon,NO,NO,123,21.3,NO,NO,NO,NO,NA,900_226001110244,NA,NA,1,NA,NA
10/2/2020,140,40,masusalmon,NO,NO,97,10.7,NO,NO,NO,NO,NA,900_226001110261,NA,NA,1,NA,NA
10/2/2020,140,NA,sculpin,NO,NO,72,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,140,NA,sculpin,NO,NO,97,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,140,NA,sculpin,NO,NO,94,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,140,NA,sculpin,NO,NO,115,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,150,41,masusalmon,NO,NO,82,6.8,NO,NO,NO,NO,NA,900_226001110277,NA,NA,1,NA,NA
10/2/2020,150,42,masusalmon,NO,NO,120,22.9,sperm,NO,NO,NO,NA,900_226001110285,NA,NA,1,NA,NA
10/2/2020,150,43,masusalmon,NO,NO,80,6.2,NO,NO,NO,NO,NA,900_226001110214,NA,NA,1,NA,NA
10/2/2020,150,44,masusalmon,NO,NO,100,12.5,NO,NO,NO,NO,NA,900_226001110245,NA,NA,1,NA,NA
10/2/2020,150,45,masusalmon,NO,NO,63,2.8,NO,NO,NO,NO,NA,900_226001110209,NA,NA,1,NA,NA
10/2/2020,150,46,masusalmon,NO,NO,72,4.1,NO,NO,NO,NO,NA,900_226001110251,NA,NA,1,NA,NA
10/2/2020,150,NA,sculpin,NO,NO,85,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,150,NA,sculpin,NO,NO,68,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
